iter	MultiClass
0	1.554785512
1	1.299043134
2	1.130085787
3	0.9900502041
4	0.8909721867
5	0.8053971937
6	0.7354976953
7	0.6746086554
8	0.6201386708
9	0.5710329075
10	0.535352343
11	0.5029776078
12	0.4741231126
13	0.4481651917
14	0.42429895
15	0.4041838731
16	0.3885461377
17	0.3721359995
18	0.3577940493
19	0.3429038372
20	0.3309564498
21	0.319894833
22	0.3099537377
23	0.3020949454
24	0.2950543017
25	0.2881493986
26	0.281045386
27	0.2750905439
28	0.2691872521
29	0.2643549101
30	0.2589615429
31	0.2542561726
32	0.2503802415
33	0.2462903769
34	0.2429974083
35	0.2400174651
36	0.2372575163
37	0.2347112914
38	0.2316873268
39	0.2294899632
40	0.2270443159
41	0.2248368663
42	0.2217938401
43	0.2203837537
44	0.2186991081
45	0.2169300522
46	0.2152104827
47	0.2136993409
48	0.2119841262
49	0.2103980178
50	0.2094957171
51	0.2082698504
52	0.2069947655
53	0.2057672706
54	0.2043400125
55	0.2032028264
56	0.2019040653
57	0.200617166
58	0.1997174648
59	0.1989121282
60	0.1981202462
61	0.1972814953
62	0.1967841836
63	0.1956331206
64	0.1947554655
65	0.1939470401
66	0.1925834271
67	0.1915240672
68	0.1908028602
69	0.1897806778
70	0.1892576365
71	0.1885334731
72	0.1871574396
73	0.1865939813
74	0.1860411575
75	0.1850304459
76	0.1843364278
77	0.1837362405
78	0.1828549352
79	0.1822919907
80	0.1814030074
81	0.1807049767
82	0.1799647664
83	0.1792058486
84	0.1785012163
85	0.1776422825
86	0.176871477
87	0.1760533804
88	0.1746800239
89	0.174263998
90	0.1736548188
91	0.1731340114
92	0.1727184102
93	0.1719832557
94	0.1715452242
95	0.1710082362
96	0.170600578
97	0.1695722163
98	0.1691833352
99	0.1686442566
100	0.1679163046
101	0.1673499649
102	0.1668617532
103	0.1658605783
104	0.1653163805
105	0.1647513026
106	0.1636324395
107	0.1630535911
108	0.1627180378
109	0.1623666279
110	0.1617194793
111	0.161206869
112	0.1603189998
113	0.1597435488
114	0.1589055741
115	0.1586239884
116	0.1582902394
117	0.1576711455
118	0.1570005026
119	0.1564511989
120	0.1560750219
121	0.1552753314
122	0.1549584264
123	0.1544200534
124	0.1542045333
125	0.1539863295
126	0.1534036275
127	0.1528718645
128	0.1524112693
129	0.1519203457
130	0.1512789945
131	0.1508455401
132	0.1503423968
133	0.1500275546
134	0.1494871634
135	0.1491219915
136	0.1487715
137	0.1482852324
138	0.1477437814
139	0.1472660237
140	0.1470270233
141	0.1464669013
142	0.1462110319
143	0.1459793727
144	0.1456636861
145	0.1452841491
146	0.1450117257
147	0.1447998813
148	0.1445096788
149	0.1441123504
150	0.1439153412
151	0.1435881109
152	0.1432771863
153	0.1429424043
154	0.142434216
155	0.142047045
156	0.1416034959
157	0.1410680183
158	0.1406527127
159	0.1402500132
160	0.1398748381
161	0.1391159492
162	0.1386082814
163	0.1381979265
164	0.1378492865
165	0.1376459603
166	0.1372147412
167	0.1368471559
168	0.1363680314
169	0.1360261771
170	0.1356866201
171	0.1354139691
172	0.1350570522
173	0.1346239389
174	0.1342699686
175	0.1340472945
176	0.1337463851
177	0.1335274288
178	0.1333391203
179	0.13314953
180	0.1325938899
181	0.1321868882
182	0.1319580793
183	0.1317020614
184	0.1314800629
185	0.1310422953
186	0.1305202028
187	0.1298838438
188	0.1295927646
189	0.1293206088
190	0.1290493341
191	0.1288700139
192	0.128693377
193	0.1284377965
194	0.1282127979
195	0.1278781101
196	0.1275021285
197	0.127386847
198	0.1271510515
199	0.1268438835
200	0.1265558095
201	0.1262863091
202	0.1259045709
203	0.1257121521
204	0.1254769774
205	0.1248824004
206	0.1245522092
207	0.124140818
208	0.1239679101
209	0.1237108894
210	0.1235703299
211	0.1230812285
212	0.1228430047
213	0.1226594749
214	0.1223818524
215	0.1221007421
216	0.121825305
217	0.1215407112
218	0.1213707275
219	0.1211904195
220	0.1209956742
221	0.1206743934
222	0.1204001678
223	0.1200764299
224	0.1196827012
225	0.1193480406
226	0.119175956
227	0.1189961349
228	0.1186815765
229	0.1183550393
230	0.1181584277
231	0.1179775421
232	0.1177536183
233	0.1175345472
234	0.1172291694
235	0.1170791194
236	0.1167849429
237	0.1166533431
238	0.1163948141
239	0.1162471565
240	0.1160399196
241	0.1158472619
242	0.1155864538
243	0.1153392224
244	0.1150048598
245	0.1148039318
246	0.1145376188
247	0.114335562
248	0.1142308185
249	0.1140396953
250	0.1137547228
251	0.1135932886
252	0.1132679982
253	0.1129804269
254	0.1127445762
255	0.1124729737
256	0.1123442654
257	0.1120930527
258	0.111889726
259	0.1117355043
260	0.1115303228
261	0.1113466845
262	0.1110883004
263	0.1108931752
264	0.1107562412
265	0.1105434189
266	0.1104597815
267	0.1102196007
268	0.1100929589
269	0.1097275427
270	0.1095010657
271	0.1092868479
272	0.1088715181
273	0.1086917759
274	0.1084158201
275	0.1081916362
276	0.1080359426
277	0.1077953671
278	0.1074899915
279	0.1073339786
280	0.1070994427
281	0.1069335164
282	0.1066785699
283	0.1064574117
284	0.1062039995
285	0.1060600818
286	0.1057747409
287	0.1055485019
288	0.1049346423
289	0.1046669713
290	0.1043803817
291	0.1042251548
292	0.1038679184
293	0.1036972469
294	0.1034901213
295	0.1033211448
296	0.1031319318
297	0.1029901016
298	0.1028357825
299	0.1027159395
300	0.1024805356
301	0.1022617031
302	0.1021264159
303	0.1019490649
304	0.1016748571
305	0.1015270185
306	0.1013412758
307	0.1010829556
308	0.1009001166
309	0.1007657586
310	0.1006095195
311	0.1004092595
312	0.1003394739
313	0.100208617
314	0.1000356346
315	0.09975463515
316	0.0996536758
317	0.09951148639
318	0.09935925541
319	0.09903865653
320	0.0988883658
321	0.09868202504
322	0.09848395425
323	0.09839235377
324	0.09817723445
325	0.09800672573
326	0.09788524959
327	0.09775481718
328	0.09761581829
329	0.09743839784
330	0.09730489407
331	0.09706626122
332	0.09694786686
333	0.09672671287
334	0.0964719799
335	0.09635195109
336	0.09612868634
337	0.09589939884
338	0.09570446469
339	0.09554004236
340	0.09528057705
341	0.09500795503
342	0.09486654247
343	0.09470325227
344	0.09448045356
345	0.09433802711
346	0.09424730972
347	0.09403709343
348	0.09385579344
349	0.09366816617
350	0.09358515806
351	0.09338502011
352	0.09316103181
353	0.09294088616
354	0.09277067426
355	0.09268689337
356	0.09258330929
357	0.0924056127
358	0.09224523667
359	0.09211294921
360	0.09186776856
361	0.09176143787
362	0.09154638931
363	0.09134899692
364	0.09117941387
365	0.09099156188
366	0.09088694124
367	0.0905379356
368	0.09037269878
369	0.0901959805
370	0.08996052378
371	0.08983521467
372	0.0896070261
373	0.08952934944
374	0.08943347412
375	0.08928858871
376	0.08912685684
377	0.08894842578
378	0.0887867977
379	0.08867635094
380	0.08840527411
381	0.08823458898
382	0.08804790195
383	0.08791562193
384	0.08774563205
385	0.0875663123
386	0.08725254673
387	0.08695516365
388	0.08667768631
389	0.08657747594
390	0.08644799954
391	0.08633854332
392	0.08618898697
