iter	Passed	Remaining
0	164	164432
1	171	85461
2	177	58916
3	184	45915
4	190	37935
5	196	32604
6	203	28810
7	209	25929
8	215	23735
9	221	21948
10	228	20500
11	234	19266
12	240	18292
13	247	17424
14	253	16640
15	259	15965
16	266	15383
17	272	14858
18	278	14368
19	284	13930
20	290	13542
21	297	13204
22	303	12886
23	309	12587
24	316	12333
25	322	12074
26	329	11866
27	335	11643
28	341	11438
29	347	11243
30	353	11060
31	360	10893
32	366	10728
33	372	10582
34	379	10457
35	385	10322
36	392	10224
37	399	10109
38	406	10009
39	413	9921
40	420	9829
41	427	9747
42	434	9670
43	442	9613
44	449	9536
45	456	9473
46	463	9406
47	470	9340
48	477	9266
49	483	9191
50	490	9134
51	498	9081
52	505	9036
53	514	9013
54	522	8969
55	531	8957
56	538	8908
57	545	8857
58	551	8803
59	559	8759
60	568	8750
61	578	8757
62	589	8771
63	599	8773
64	607	8745
65	615	8704
66	622	8664
67	628	8616
68	636	8594
69	643	8547
70	650	8508
71	657	8475
72	665	8446
73	672	8411
74	678	8369
75	686	8340
76	693	8316
77	700	8280
78	706	8241
79	713	8208
80	720	8175
81	727	8141
82	734	8119
83	741	8082
84	749	8066
85	756	8038
86	764	8026
87	772	8004
88	780	7985
89	786	7954
90	793	7925
91	800	7896
92	809	7891
93	816	7870
94	822	7839
95	829	7815
96	836	7790
97	843	7763
98	849	7735
99	856	7710
100	863	7682
101	869	7658
102	877	7644
103	884	7621
104	892	7610
105	899	7585
106	906	7565
107	913	7548
108	921	7534
109	928	7513
110	935	7490
111	942	7474
112	950	7458
113	958	7447
114	965	7426
115	975	7431
116	981	7410
117	989	7399
118	996	7380
119	1006	7378
120	1013	7361
121	1020	7346
122	1027	7324
123	1034	7310
124	1041	7291
125	1049	7282
126	1058	7276
127	1066	7264
128	1076	7268
129	1084	7258
130	1091	7241
131	1100	7234
132	1106	7215
133	1114	7202
134	1122	7191
135	1132	7197
136	1141	7192
137	1149	7179
138	1156	7162
139	1163	7150
140	1170	7132
141	1177	7116
142	1186	7110
143	1195	7105
144	1205	7107
145	1214	7104
146	1222	7092
147	1234	7106
